"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","45618865","D001714","Bipolar Disorder","Main Heading","Non-Standard","0","0","Condition","MeSH","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45595903","F31.73","Bipolar disorder, in partial remission, most recent episode manic","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45595902","F31","Bipolar affective disorder","ICD10 Hierarchy","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45591136","F31.72","Bipolar disorder, in full remission, most recent episode hypomanic","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45591135","F31.62","Bipolar disorder, current episode mixed, moderate","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45591134","F31.11","Bipolar disorder, current episode manic without psychotic features, mild","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45586237","F31.8","Other bipolar affective disorders","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45586236","F31.5","Bipolar affective disorder, current episode severe depression with psychotic symptoms","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45581457","F31.7","Bipolar affective disorder, currently in remission","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45581456","F31.4","Bipolar affective disorder, current episode severe depression without psychotic symptoms","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45576540","F31.74","Bipolar disorder, in full remission, most recent episode manic","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45576539","F31.63","Bipolar disorder, current episode mixed, severe, without psychotic features","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45576538","F31.60","Bipolar disorder, current episode mixed, unspecified","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45576537","F31.1","Bipolar affective disorder, current episode manic without psychotic symptoms","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571758","F31.9","Bipolar affective disorder, unspecified","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571757","F31.6","Bipolar affective disorder, current episode mixed","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571756","F31.30","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571755","F31.3","Bipolar affective disorder, current episode mild or moderate depression","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571754","F31.2","Bipolar affective disorder, current episode manic with psychotic symptoms","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45571753","F31.12","Bipolar disorder, current episode manic without psychotic features, moderate","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45566841","F31.71","Bipolar disorder, in partial remission, most recent episode hypomanic","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45566840","F31.70","Bipolar disorder, currently in remission, most recent episode unspecified","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45566839","F31.31","Bipolar disorder, current episode depressed, mild","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45557201","F31.75","Bipolar disorder, in partial remission, most recent episode depressed","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45552477","F31.10","Bipolar disorder, current episode manic without psychotic features, unspecified","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45547703","F31.64","Bipolar disorder, current episode mixed, severe, with psychotic features","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45542844","F31.81","Bipolar II disorder","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45542843","F31.77","Bipolar disorder, in partial remission, most recent episode mixed","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45542842","F31.76","Bipolar disorder, in full remission, most recent episode depressed","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45542841","F31.61","Bipolar disorder, current episode mixed, mild","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45542840","F31.0","Bipolar affective disorder, current episode hypomanic","ICD10 code","Non-Standard","0","0","Condition","ICD10","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45538064","F31.89","Other bipolar disorder","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45538063","F31.78","Bipolar disorder, in full remission, most recent episode mixed","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45538062","F31.32","Bipolar disorder, current episode depressed, moderate","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45538061","F31.13","Bipolar disorder, current episode manic without psychotic features, severe","5-char billing code","Non-Standard","0","0","Condition","ICD10CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45531923","2969M","PSYCHOSIS MANIC-DEPRESSIVE","OXMIS","Non-Standard","0","0","Condition","OXMIS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45523217","E115.11","Manic-depressive - now depressed","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45519949","Eu31200","[X]Bipolar affective disorder, current episode manic with psychotic symptoms","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45519948","Eu31000","[X]Bipolar affective disorder, current episode hypomanic","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45516681","E114z00","Bipolar affective disorder, currently manic, NOS","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45513304","Eu31.00","[X]Bipolar affective disorder","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45513273","E116000","Mixed bipolar affective disorder, unspecified","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45509918","Eu31100","[X]Bipolar affective disorder, current episode manic without psychotic symptoms","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45509876","E116200","Mixed bipolar affective disorder, moderate","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45503246","E114000","Bipolar affective disorder, currently manic, unspecified","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45499964","Eu31z00","[X]Bipolar affective disorder, unspecified","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45499963","Eu31500","[X]Bipolar affective disorder, current episode severe depression with psychotic symptoms","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45493313","E115200","Bipolar affective disorder, currently depressed, moderate","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45490036","E116.00","Mixed bipolar affective disorder","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45490035","E114200","Bipolar affective disorder, currently manic, moderate","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45486779","Eu31.12","[X]Manic-depressive psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45486743","E117z00","Unspecified bipolar affective disorder, NOS","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45486742","E114.11","Manic-depressive - now manic","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45483385","E11y300","Other mixed manic-depressive psychoses","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45483384","E11y000","Unspecified manic-depressive psychoses","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45483383","E115400","Bipolar affective disorder, currently depressed, severe, with psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45483382","E114300","Bipolar affective disorder, currently manic, severe, without mention of psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45483381","E114100","Bipolar affective disorder, currently manic, mild","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45476827","Eu31400","[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45476789","E114500","Bipolar affective disorder, currently manic, in partial or unspecified remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45473406","E116500","Mixed bipolar affective disorder, in partial or unspecified remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45470115","E117000","Unspecified bipolar affective disorder, unspecified","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45470112","E11..11","Bipolar psychoses","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466715","Eu31800","[X]Bipolar affective disorder type I","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466714","Eu31300","[X]Bipolar affective disorder, current episode mild or moderate depression","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466672","E117500","Unspecified bipolar affective disorder, in partial or unspecified remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466671","E117200","Unspecified bipolar affective disorder, moderate","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45466670","E117100","Unspecified bipolar affective disorder, mild","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45463323","E117.00","Unspecified bipolar affective disorder","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45463322","E114400","Bipolar affective disorder, currently manic, severe, with psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45459918","Eu31911","[X]Bipolar II disorder","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45459886","E11y.00","Other and unspecified manic-depressive psychoses","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45456580","Eu31y00","[X]Other bipolar affective disorders","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45456552","E116z00","Mixed bipolar affective disorder, NOS","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45456551","E115600","Bipolar affective disorder, currently depressed, in full remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45456550","E115300","Bipolar affective disorder, currently depressed, severe, without mention of psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45456549","E114600","Bipolar affective disorder, currently manic, in full remission","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45453207","Eu31.13","[X]Manic-depressive reaction","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45453178","E117400","Unspecified bipolar affective disorder, severe, with psychosis","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45453177","E116100","Mixed bipolar affective disorder, mild","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45449880","Eu31y11","[X]Bipolar II disorder","Read","Non-Standard","0","0","Condition","Read","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
