"","CONCEPT_ID","CONCEPT_NAME","STANDARD_CONCEPT","STANDARD_CONCEPT_CAPTION","INVALID_REASON","INVALID_REASON_CAPTION","CONCEPT_CODE","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID"
"1",432284,"Single major depressive episode","N","Non-Standard","U","Invalid","268620009","Condition","SNOMED","Clinical Finding"
"2",432285,"Recurrent major depressive episodes","S","Standard","V","Valid","268621008","Condition","SNOMED","Clinical Finding"
"3",432883,"Recurrent major depressive episodes, moderate","S","Standard","V","Valid","191611001","Condition","SNOMED","Clinical Finding"
"4",433440,"Dysthymia","S","Standard","V","Valid","78667006","Condition","SNOMED","Clinical Finding"
"5",433750,"Single major depressive episode, in full remission","N","Non-Standard","U","Invalid","191606003","Condition","SNOMED","Clinical Finding"
"6",433991,"Recurrent major depression in remission","S","Standard","V","Valid","68019004","Condition","SNOMED","Clinical Finding"
"7",434911,"Recurrent major depressive episodes, severe, with psychosis","S","Standard","V","Valid","191613003","Condition","SNOMED","Clinical Finding"
"8",435220,"Severe recurrent major depression without psychotic features","S","Standard","V","Valid","36474008","Condition","SNOMED","Clinical Finding"
"9",435520,"Reactive depressive psychosis","S","Standard","V","Valid","191676002","Condition","SNOMED","Clinical Finding"
"10",436945,"Single major depressive episode, mild","N","Non-Standard","U","Invalid","191601008","Condition","SNOMED","Clinical Finding"
"11",437528,"Bipolar affective disorder, currently depressed, moderate","S","Standard","V","Valid","191630001","Condition","SNOMED","Clinical Finding"
"12",437837,"Single major depressive episode, moderate","N","Non-Standard","U","Invalid","191602001","Condition","SNOMED","Clinical Finding"
"13",438406,"Severe major depression, single episode, with psychotic features","S","Standard","V","Valid","430852001","Condition","SNOMED","Clinical Finding"
"14",438727,"Atypical depressive disorder","S","Standard","V","Valid","191659001","Condition","SNOMED","Clinical Finding"
"15",438998,"Recurrent major depressive episodes, mild","S","Standard","V","Valid","191610000","Condition","SNOMED","Clinical Finding"
"16",439243,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","U","Invalid","191632009","Condition","SNOMED","Clinical Finding"
"17",439244,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191631002","Condition","SNOMED","Clinical Finding"
"18",439251,"Bipolar affective disorder, currently depressed, in full remission","S","Standard","V","Valid","191634005","Condition","SNOMED","Clinical Finding"
"19",439252,"Recurrent major depressive episodes, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191612008","Condition","SNOMED","Clinical Finding"
"20",439253,"Bipolar affective disorder, currently depressed, mild","S","Standard","V","Valid","191629006","Condition","SNOMED","Clinical Finding"
"21",439254,"Bipolar affective disorder, current episode depression","S","Standard","V","Valid","191627008","Condition","SNOMED","Clinical Finding"
"22",439259,"Single major depressive episode, severe, with psychosis","S","Standard","V","Valid","191604000","Condition","SNOMED","Clinical Finding"
"23",439260,"Single major depressive episode, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191603006","Condition","SNOMED","Clinical Finding"
"24",440075,"Recurrent major depressive episodes, in full remission","N","Non-Standard","U","Invalid","191615005","Condition","SNOMED","Clinical Finding"
"25",440383,"Depressive disorder","S","Standard","V","Valid","35489007","Condition","SNOMED","Clinical Finding"
"26",441534,"Severe major depression, single episode, without psychotic features","S","Standard","V","Valid","76441001","Condition","SNOMED","Clinical Finding"
"27",443864,"Multi-infarct dementia with depression","S","Standard","V","Valid","14070001","Condition","SNOMED","Clinical Finding"
"28",1410543,"Post-schizophrenic depression","N","Non-Standard","V","Valid","F20.4","Condition","ICD10CN","ICD10 code"
"29",1410544,"Post-schizophrenic depression","N","Non-Standard","V","Valid","F20.400","Condition","ICD10CN","ICD10 code"
"30",1410593,"Schizoaffective disorder, depressive type","N","Non-Standard","V","Valid","F25.1","Condition","ICD10CN","ICD10 code"
"31",1410594,"Schizoaffective disorder, depressive type","N","Non-Standard","V","Valid","F25.100","Condition","ICD10CN","ICD10 code"
"32",1410627,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.3","Condition","ICD10CN","ICD10 code"
"33",1410628,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.300","Condition","ICD10CN","ICD10 code"
"34",1410629,"Bipolar disorder, currently moderate depressive episode (machine translation)","N","Non-Standard","V","Valid","F31.301","Condition","ICD10CN","ICD10 code"
"35",1410630,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.4","Condition","ICD10CN","ICD10 code"
"36",1410631,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.400","Condition","ICD10CN","ICD10 code"
"37",1410632,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.5","Condition","ICD10CN","ICD10 code"
"38",1410633,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.500","Condition","ICD10CN","ICD10 code"
"39",1410646,"Depressive episode","N","Non-Standard","V","Valid","F32","Condition","ICD10CN","ICD10 Hierarchy"
"40",1410647,"Mild depressive episode","N","Non-Standard","V","Valid","F32.0","Condition","ICD10CN","ICD10 code"
"41",1410648,"Mild depressive episode","N","Non-Standard","V","Valid","F32.000","Condition","ICD10CN","ICD10 code"
