"","CONCEPT_ID","CONCEPT_NAME","STANDARD_CONCEPT","STANDARD_CONCEPT_CAPTION","INVALID_REASON","INVALID_REASON_CAPTION","CONCEPT_CODE","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","VALID_START_DATE","VALID_END_DATE"
"1",432284,"Single major depressive episode","N","Non-Standard","U","Invalid","268620009","Condition","SNOMED","Clinical Finding",1012435200000,1517356800000
"2",432285,"Recurrent major depressive episodes","S","Standard","V","Valid","268621008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"3",432883,"Recurrent major depressive episodes, moderate","S","Standard","V","Valid","191611001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"4",433440,"Dysthymia","S","Standard","V","Valid","78667006","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"5",433750,"Single major depressive episode, in full remission","N","Non-Standard","U","Invalid","191606003","Condition","SNOMED","Clinical Finding",1012435200000,1517356800000
"6",433991,"Recurrent major depression in remission","S","Standard","V","Valid","68019004","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"7",434911,"Recurrent major depressive episodes, severe, with psychosis","S","Standard","V","Valid","191613003","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"8",435220,"Severe recurrent major depression without psychotic features","S","Standard","V","Valid","36474008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"9",435520,"Reactive depressive psychosis","S","Standard","V","Valid","191676002","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"10",436945,"Single major depressive episode, mild","N","Non-Standard","U","Invalid","191601008","Condition","SNOMED","Clinical Finding",1012435200000,1517356800000
"11",437528,"Bipolar affective disorder, currently depressed, moderate","S","Standard","V","Valid","191630001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"12",437837,"Single major depressive episode, moderate","N","Non-Standard","U","Invalid","191602001","Condition","SNOMED","Clinical Finding",1012435200000,1517356800000
"13",438406,"Severe major depression, single episode, with psychotic features","S","Standard","V","Valid","430852001","Condition","SNOMED","Clinical Finding",1217462400000,4102358400000
"14",438727,"Atypical depressive disorder","S","Standard","V","Valid","191659001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"15",438998,"Recurrent major depressive episodes, mild","S","Standard","V","Valid","191610000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"16",439243,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","D","Invalid","191632009","Condition","SNOMED","Clinical Finding",1012435200000,1532995200000
"17",439244,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191631002","Condition","SNOMED","Clinical Finding",1012435200000,1.264896e+12
"18",439251,"Bipolar affective disorder, currently depressed, in full remission","S","Standard","V","Valid","191634005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"19",439252,"Recurrent major depressive episodes, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191612008","Condition","SNOMED","Clinical Finding",1012435200000,1.264896e+12
"20",439253,"Bipolar affective disorder, currently depressed, mild","S","Standard","V","Valid","191629006","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"21",439254,"Bipolar affective disorder, current episode depression","S","Standard","V","Valid","191627008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"22",439259,"Single major depressive episode, severe, with psychosis","S","Standard","V","Valid","191604000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"23",439260,"Single major depressive episode, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191603006","Condition","SNOMED","Clinical Finding",1012435200000,1.264896e+12
"24",440075,"Recurrent major depressive episodes, in full remission","N","Non-Standard","U","Invalid","191615005","Condition","SNOMED","Clinical Finding",1012435200000,1532995200000
"25",440383,"Depressive disorder","S","Standard","V","Valid","35489007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"26",441534,"Severe major depression, single episode, without psychotic features","S","Standard","V","Valid","76441001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"27",443864,"Multi-infarct dementia with depression","S","Standard","V","Valid","14070001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"28",607540,"Treatment resistant depression","S","Standard","V","Valid","1153570009","Condition","SNOMED","Clinical Finding",1627689600000,4102358400000
"29",607543,"Persistent depressive disorder","S","Standard","V","Valid","1153575004","Condition","SNOMED","Clinical Finding",1627689600000,4102358400000
"30",766349,"Depression, unspecified","N","Non-Standard","V","Valid","F32.A","Condition","ICD10CM","4-char billing code",1633046400000,4102358400000
"31",1340305,"Exacerbation of depressive disorder","S","Standard","V","Valid","OMOP5165960","Condition","OMOP Extension","Clinical Finding",1651795200000,4102358400000
"32",1340392,"Exacerbation of major depressive disorder","S","Standard","V","Valid","OMOP5166047","Condition","OMOP Extension","Clinical Finding",1651795200000,4102358400000
"33",1410543,"Post-schizophrenic depression","N","Non-Standard","V","Valid","F20.4","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"34",1410544,"Post-schizophrenic depression","N","Non-Standard","V","Valid","F20.400","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"35",1410593,"Schizoaffective disorder, depressive type","N","Non-Standard","V","Valid","F25.1","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"36",1410594,"Schizoaffective disorder, depressive type","N","Non-Standard","V","Valid","F25.100","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"37",1410627,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.3","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"38",1410628,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.300","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"39",1410629,"Bipolar disorder, currently moderate depressive episode (machine translation)","N","Non-Standard","V","Valid","F31.301","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"40",1410630,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.4","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"41",1410631,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.400","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"42",1410632,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.5","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"43",1410633,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.500","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"44",1410646,"Depressive episode","N","Non-Standard","V","Valid","F32","Condition","ICD10CN","ICD10 Hierarchy",1451606400000,4102358400000
"45",1410647,"Mild depressive episode","N","Non-Standard","V","Valid","F32.0","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"46",1410648,"Mild depressive episode","N","Non-Standard","V","Valid","F32.000","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"47",1410649,"Moderate depressive episode","N","Non-Standard","V","Valid","F32.1","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"48",1410650,"Moderate depressive episode","N","Non-Standard","V","Valid","F32.100","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"49",1410651,"Severe depressive episode without psychotic symptoms","N","Non-Standard","V","Valid","F32.2","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"50",1410652,"Severe depressive episode without psychotic symptoms","N","Non-Standard","V","Valid","F32.200","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"51",1410653,"Severe depressive episode with psychotic symptoms","N","Non-Standard","V","Valid","F32.3","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"52",1410654,"Severe depressive episode with psychotic symptoms","N","Non-Standard","V","Valid","F32.300","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"53",1410655,"Depressive psychosis (machine translation)","N","Non-Standard","V","Valid","F32.301","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"54",1410656,"Other depressive episodes","N","Non-Standard","V","Valid","F32.8","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"55",1410657,"Other depressive episodes","N","Non-Standard","V","Valid","F32.800","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"56",1410658,"Menopause depression (machine translation)","N","Non-Standard","V","Valid","F32.801","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"57",1410659,"Atypical depression (machine translation)","N","Non-Standard","V","Valid","F32.802","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"58",1410660,"Depressive episode, unspecified","N","Non-Standard","V","Valid","F32.9","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"59",1410661,"Depressive episode, unspecified","N","Non-Standard","V","Valid","F32.900","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"60",1410662,"Depression (machine translation)","N","Non-Standard","V","Valid","F32.901","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"61",1410663,"Reactive depression (machine translation)","N","Non-Standard","V","Valid","F32.902","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"62",1410664,"Recurrent depressive disorder","N","Non-Standard","V","Valid","F33","Condition","ICD10CN","ICD10 Hierarchy",1451606400000,4102358400000
"63",1410665,"Recurrent depressive disorder, current episode mild","N","Non-Standard","V","Valid","F33.0","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"64",1410666,"Recurrent depressive disorder, current episode mild","N","Non-Standard","V","Valid","F33.000","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"65",1410667,"Recurrent depressive disorder, current episode moderate","N","Non-Standard","V","Valid","F33.1","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"66",1410668,"Recurrent depressive disorder, current episode moderate","N","Non-Standard","V","Valid","F33.100","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"67",1410669,"Recurrent depressive disorder, current episode severe without psychotic symptoms","N","Non-Standard","V","Valid","F33.2","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"68",1410670,"Recurrent depressive disorder, current episode severe without psychotic symptoms","N","Non-Standard","V","Valid","F33.200","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"69",1410671,"Recurrent depressive disorder, current episode severe with psychotic symptoms","N","Non-Standard","V","Valid","F33.3","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"70",1410672,"Recurrent depressive disorder, current episode severe with psychotic symptoms","N","Non-Standard","V","Valid","F33.300","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"71",1410673,"Recurrent depressive disorder, currently in remission","N","Non-Standard","V","Valid","F33.4","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
